pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-01,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-02,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-03,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-04,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-05,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-06,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-07,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-08,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-09,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-10,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-11,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-12,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-13,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-14,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-15,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-16,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-17,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-18,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-19,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-20,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-21,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-22,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-23,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-24,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-25,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-26,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-27,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-28,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-29,882.6965689372845
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-30,882.979285957087
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-31,882.979285957087
